Title,Speaker,Conference
Ye Shall Be Free,Elder Thierry K. Mutombo,April 2021
Hope in Christ,President M. Russell Ballard,April 2021
Bishops—Shepherds over the Lord’s Flock,Elder Quentin L. Cook,April 2021
You Can Gather Israel!,Ahmad S. Corbitt,April 2021
This Is Our Time!,Elder S. Gifford Nielsen,April 2021
Bless in His Name,President Henry B. Eyring,April 2021
What Has Our Savior Done for Us?,President Dallin H. Oaks,April 2021
What We Are Learning and Will Never Forget,President Russell M. Nelson,April 2021
Jesus Christ: The Caregiver of Our Soul,Elder Ulisses Soares,April 2021
The Grave Has No Victory,Reyna I. Aburto,April 2021
Our Sorrow Shall Be Turned into Joy,Elder S. Mark Palmer,April 2021
Pressing toward the Mark,Elder Edward Dube,April 2021
Remember Your Way Back Home,Elder José A. Teixeira,April 2021
God Loves His Children,Elder Taniela B. Wakolo,April 2021
They Cannot Prevail; We Cannot Fall,Elder Chi Hong (Sam) Wong,April 2021
Our Personal Savior,Elder Michael John U. Teh,April 2021
Christ Is Risen; Faith in Him Will Move Mountains,President Russell M. Nelson,April 2021
Defending Our Divinely Inspired Constitution,President Dallin H. Oaks,April 2021
“Behold! I Am a God of Miracles”,Elder Ronald A. Rasband,April 2021
Light Cleaveth unto Light,Elder Timothy J. Dyches,April 2021
Why the Covenant Path,Elder D. Todd Christofferson,April 2021
The Gospel Light of Truth and Love,Elder Alan R. Walker,April 2021
“The Principles of My Gospel”,Elder David A. Bednar,April 2021
COVID-19 and Temples,President Russell M. Nelson,April 2021
"Pure Truth, Pure Doctrine, and Pure Revelation",President Russell M. Nelson,October 2021
The Greatest Possession,Elder Jeffrey R. Holland,October 2021
Come unto Christ and Don’t Come Alone,Bonnie H. Cordon,October 2021
The Savior’s Abiding Compassion,Elder Ulisses Soares,October 2021
The Love of God,Elder D. Todd Christofferson,October 2021
Becoming More in Christ: The Parable of the Slope,Elder Clark G. Gilbert,October 2021
A Faithful Search Rewarded,Elder Patricio M. Giuffra,October 2021
The Need for a Church,President Dallin H. Oaks,October 2021
"Sustaining of General Authorities, Area Seventies, and General Officers",sented by President Henry B. Eyring,October 2021
With the Power of God in Great Glory,Elder David A. Bednar,October 2021
Faith to Act and Become,Elder Ciro Schmeil,October 2021
God’s Love: The Most Joyous to the Soul,Susan H. Porter,October 2021
Addressing Mental Health,Elder Erich W. Kopischke,October 2021
The Things of My Soul,Elder Ronald A. Rasband,October 2021
Preparing for the Second Coming of Christ,Elder Christoffel Golden,October 2021
Favored of the Lord in All My Days,Elder Moisés Villanueva,October 2021
Simply Beautiful—Beautifully Simple,Elder Gary E. Stevenson,October 2021
“Lovest Thou Me More Than These?”,President M. Russell Ballard,October 2021
I Pray He’ll Use Us,Sharon Eubank,October 2021
Is There No Balm in Gilead?,Elder Brent H. Nielson,October 2021
Deepening Our Conversion to Jesus Christ,Elder Arnulfo Valenzuela,October 2021
Worthiness Is Not Flawlessness,Bradley R. Wilcox,October 2021
To Be a Follower of Christ,Elder Alfred Kyungu,October 2021
Hold Up Your Light,Elder Marcus B. Nash,October 2021
The Faith to Ask and Then to Act,President Henry B. Eyring,October 2021
Daily Restoration,Elder Dieter F. Uchtdorf,October 2021
Invite Christ to Author Your Story,Camille N. Johnson,October 2021
The Peace of Christ Abolishes Enmity,Elder Dale G. Renlund,October 2021
A House of Sequential Order,Elder Vaiangina Sikahema,October 2021
Personal Peace in Challenging Times,Elder Quentin L. Cook,October 2021
The Temple and Your Spiritual Foundation,President Russell M. Nelson,October 2021
Trust Again,Elder Gerrit W. Gong,October 2021
Giving Holiness to the Lord,Bishop L. Todd Budge,October 2021
"Remember Thy Suffering Saints, O Our God",Elder Anthony D. Perkins,October 2021
One Percent Better,Elder Michael A. Dunn,October 2021
Facing Our Spiritual Hurricanes by Believing in Christ,Elder Sean Douglas,October 2021
Miracles of the Gospel of Jesus Christ,Elder Carlos G. Revillo Jr.,October 2021
Look down the Road,Elder Alvin F. Meredith III,October 2021
The Name of the Church Is Not Negotiable,Elder Neil L. Andersen,October 2021
Make Time for the Lord,President Russell M. Nelson,October 2021
Preaching the Gospel of Peace,President Russell M. Nelson,April 2022
Missionary Service Blessed My Life Forever,President M. Russell Ballard,April 2022
We Are The Church of Jesus Christ of Latter-day Saints,Reyna I. Aburto,April 2022
But We Heeded Them Not,Elder David A. Bednar,April 2022
Following Jesus: Being a Peacemaker,Elder Neil L. Andersen,April 2022
A Mighty Change of Heart: “I Have Nothing More to Give You”,Elder Eduardo Gavarret,April 2022
Ladder of Faith,Elder Larry S. Kacher,April 2022
Steady in the Storms,President Henry B. Eyring,April 2022
"Sustaining of General Authorities, Area Seventies, and General Officers",sented by President Dallin H. Oaks,April 2022
"Church Auditing Department Report, 2021",sented by Jared B. Larson,April 2022
Fear Not: Believe Only!,Elder Jeffrey R. Holland,April 2022
He Is Risen with Healing in His Wings: We Can Be More Than Conquerors,Elder Patrick Kearon,April 2022
Lift Up Your Heart and Rejoice,Elder Marcos A. Aidukaitis,April 2022
We Each Have a Story,Elder Gerrit W. Gong,April 2022
Is the Plan Working?,Elder Adrián Ochoa,April 2022
“Then Will I Make Weak Things Become Strong”,Elder Kevin S. Hamilton,April 2022
Conversion to the Will of God,Elder Quentin L. Cook,April 2022
Introductory Message,President Dallin H. Oaks,April 2022
Lessons at the Well,Susan H. Porter,April 2022
Do What Mattereth Most,Rebecca L. Craven,April 2022
"Covenants with God Strengthen, Protect, and Prepare Us for Eternal Glory",Jean B. Bingham,April 2022
Your Divine Nature and Eternal Destiny,Elder Dale G. Renlund,April 2022
Our Relationship with God,Elder D. Todd Christofferson,April 2022
Christ Heals That Which Is Broken,Amy A. Wright,April 2022
"Love, Share, Invite",Elder Gary E. Stevenson,April 2022
For God So Loved Us,Elder Michael T. Ringwood,April 2022
To Heal the World,Elder Ronald A. Rasband,April 2022
Teaching Self-Reliance to Children and Youth,Elder Hugo E. Martinez,April 2022
The Power of Spiritual Momentum,President Russell M. Nelson,April 2022
Divine Love in the Father’s Plan,President Dallin H. Oaks,April 2022
The Covenant Path: The Way to Eternal Life,Elder Adeyinka A. Ojediran,April 2022
Valiant Discipleship in the Latter Days,Elder Jörg Klebingat,April 2022
Conversion Is Our Goal,Mark L. Pace,April 2022
In Awe of Christ and His Gospel,Elder Ulisses Soares,April 2022
Come into the Fold of God,Elder Randy D. Funk,April 2022
Our Heartfelt All,Elder Dieter F. Uchtdorf,April 2022
Now Is the Time,President Russell M. Nelson,April 2022
Helping the Poor and Distressed,President Dallin H. Oaks,October 2022
Jesus Christ Is the Strength of Youth,Elder Dieter F. Uchtdorf,October 2022
Seeing More of Jesus Christ in Our Lives,Sister Tracy Y. Browning,October 2022
A Framework for Personal Revelation,Elder Dale G. Renlund,October 2022
Let Doing Good Be Our Normal,Elder Rafael E. Pino,October 2022
The Eternal Principle of Love,Elder Hugo Montoya,October 2022
This Day,Elder Ronald A. Rasband,October 2022
What Is True?,President Russell M. Nelson,October 2022
"Sustaining of General Authorities, Area Seventies, and General Officers",sented by President Henry B. Eyring,October 2022
Follow Jesus Christ with Footsteps of Faith,President M. Russell Ballard,October 2022
Beauty for Ashes: The Healing Path of Forgiveness,Sister Kristin M. Yee,October 2022
Be Perfected in Him,Elder Paul V. Johnson,October 2022
In Partnership with the Lord,Elder Ulisses Soares,October 2022
And They Sought to See Jesus Who He Was,Elder James W. McConkie III,October 2022
Building a Life Resistant to the Adversary,Elder Jorge F. Zeballos,October 2022
The Doctrine of Belonging,Elder D. Todd Christofferson,October 2022
Our Earthly Stewardship,Bishop Gérald Caussé,October 2022
Wholehearted,Sister Michelle D. Craig,October 2022
Are You Still Willing?,Elder Kevin W. Pearson,October 2022
Courage to Proclaim the Truth,Elder Denelson Silva,October 2022
Drawing Closer to the Savior,Elder Neil L. Andersen,October 2022
Lifted Up upon the Cross,Elder Jeffrey R. Holland,October 2022
His Yoke Is Easy and His Burden Is Light,Sister J. Anette Dennis,October 2022
Happy and Forever,Elder Gerrit W. Gong,October 2022
Patterns of Discipleship,Elder Joseph W. Sitati,October 2022
Lasting Discipleship,President Steven J. Lund,October 2022
"Put On Thy Strength, O Zion",Elder David A. Bednar,October 2022
Overcome the World and Find Rest,President Russell M. Nelson,October 2022
Legacy of Encouragement,President Henry B. Eyring,October 2022
The Answer Is Jesus,Elder Ryan K. Olsen,October 2022
That They Might Know Thee,Elder Jonathan S. Schmitt,October 2022
The Virtue of the Word,Elder Mark D. Eddy,October 2022
Nourishing and Bearing Your Testimony,Elder Gary E. Stevenson,October 2022
We Can Do Hard Things through Him,Elder Isaac K. Morrison,October 2022
Be True to God and His Work,Elder Quentin L. Cook,October 2022
Focus on the Temple,President Russell M. Nelson,October 2022
The Greatest Easter Story Ever Told,Elder Gary E. Stevenson,April 2023
Never Give Up an Opportunity to Testify of Christ,President Bonnie H. Cordon,April 2023
Just Keep Going—with Faith,Elder Carl B. Cook,April 2023
Ministering,Elder Gerrit W. Gong,April 2023
Safely Gathered Home,Elder Quentin L. Cook,April 2023
A Living Prophet for the Latter Days,Elder Allen D. Haynie,April 2023
Finding Personal Peace,President Henry B. Eyring,April 2023
"Sustaining of General Authorities, Area Seventies, and General Officers",sented by President Dallin H. Oaks,April 2023
"Church Auditing Department Report, 2022",sented by Jared B. Larson,April 2023
Accessing God’s Power through Covenants,Elder Dale G. Renlund,April 2023
He Could Heal Me!,Elder Peter F. Meurs,April 2023
Your Patriarchal Blessing—Inspired Direction from Heavenly Father,Elder Randall K. Bennett,April 2023
“There Can Be Nothing So Exquisite and Sweet as Was My Joy”,Elder Craig C. Christensen,April 2023
Trusting the Doctrine of Christ,Elder Evan A. Schmutz,April 2023
The Work of the Temple and Family History—One and the Same Work,Elder Benjamín De Hoyos,April 2023
Jesus Christ Is the Strength of Parents,Elder Dieter F. Uchtdorf,April 2023
Christlike Poise,Elder Mark A. Bragg,April 2023
Focus on Jesus Christ,Brother Milton Camargo,April 2023
Have I Truly Been Forgiven?,Elder K. Brett Nattress,April 2023
The Lord Jesus Christ Teaches Us to Minister,Elder Juan A. Uceda,April 2023
One in Christ,Elder D. Todd Christofferson,April 2023
Jesus Christ Is Relief,President Camille N. Johnson,April 2023
Followers of the Prince of Peace,Elder Ulisses Soares,April 2023
When to Receive Your Patriarchal Blessing,Elder Kazuhiko Yamashita,April 2023
My Mind Caught Hold upon This Thought of Jesus Christ,Elder Neil L. Andersen,April 2023
A Voice of Gladness!,Elder Kevin R. Duncan,April 2023
Peacemakers Needed,President Russell M. Nelson,April 2023
The Teachings of Jesus Christ,President Dallin H. Oaks,April 2023
Remember What Matters Most,President M. Russell Ballard,April 2023
Hosanna to the Most High God,Elder Ronald A. Rasband,April 2023
The Imperfect Harvest,Elder Vern P. Stanfill,April 2023
After the Fourth Day,Elder W. Mark Bassett,April 2023
Do You Know Why I as a Christian Believe in Christ?,Elder Ahmad S. Corbitt,April 2023
"“Abide in Me, and I in You; Therefore Walk with Me”",Elder David A. Bednar,April 2023
The Answer Is Always Jesus Christ,President Russell M. Nelson,April 2023
